scenario,donation_id,food_type,quantity_lbs,available_at,pickup_deadline,window_minutes,network_stress,optimizer_status,outcome,rescued_lbs,unrescued_lbs,rescue_rate,drivers_used,planning_latency_ms,safety_violations,safety_violation_count,error
36,3,bakery,60.0,12:15,12:35,20,combined,optimal,fully_rescued,60.0,0.0,1.0,1,5703.08,,0,
37,14,produce,60.0,09:45,10:30,45,combined,optimal,fully_rescued,60.0,0.0,1.0,1,5992.19,,0,
38,15,dairy,200.0,10:15,11:15,60,normal,optimal,fully_rescued,200.0,0.0,1.0,1,5987.45,,0,
39,7,dairy,225.0,10:30,11:45,75,combined,optimal,fully_rescued,225.0,0.0,1.0,2,6631.29,,0,
40,9,produce,75.0,12:30,13:45,75,normal,optimal,fully_rescued,75.0,0.0,1.0,1,6423.23,,0,
41,14,produce,200.0,13:45,15:15,90,driver_capacity,routing_infeasible,safely_rejected,0.0,200.0,0.0,0,859.91,,0,
42,7,dairy,200.0,11:15,11:45,30,combined,optimal,fully_rescued,200.0,0.0,1.0,1,5859.67,,0,
43,6,produce,150.0,11:00,14:00,180,combined,optimal,fully_rescued,150.0,0.0,1.0,1,6120.26,,0,
44,3,bakery,150.0,12:00,16:00,240,normal,optimal,fully_rescued,150.0,0.0,1.0,1,6023.63,,0,
45,8,shelf_stable,150.0,09:45,10:45,60,normal,optimal,fully_rescued,150.0,0.0,1.0,1,6064.14,,0,
46,2,dairy,110.0,11:45,15:45,240,combined,exception,safely_rejected,0.0,110.0,0.0,0,5887.39,,0,"Route for Emily finishes at 12:53, but their shift ends at 12:30."
47,1,produce,50.0,14:00,16:00,120,normal,optimal,fully_rescued,50.0,0.0,1.0,1,5658.94,,0,
48,17,prepared_food,275.0,08:15,11:15,180,normal,optimal,fully_rescued,275.0,0.0,1.0,2,6599.19,,0,
49,4,produce,275.0,09:00,11:30,150,pantry_capacity,optimal,fully_rescued,275.0,0.0,1.0,2,5939.65,,0,
50,15,dairy,75.0,13:45,16:15,150,driver_capacity,optimal,fully_rescued,75.0,0.0,1.0,1,5735.92,,0,
